Player,Team,Pos,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD
Stefon Diggs,WR25,HOU,0,0,0,5,0,81,934,6.1
Alvin Kamara,RB21,NO,0,0,0,636,4.4,50,331,1.2
Brandon McManus,K23,WAS,--,--,--,--,--,--,--,--
Kansas City Chiefs,DST3,KC,--,--,--,--,--,--,--,--
Pittsburgh Steelers,DST4,PIT,--,--,--,--,--,--,--,--
Chris Boswell,K24,PIT,--,--,--,--,--,--,--,--
Cade York,K25,CLE,--,--,--,--,--,--,--,--
New York Jets,DST5,NYJ,--,--,--,--,--,--,--,--
Zack Moss,RB22,CIN,0,0,0,707,5.7,24,171,1.1
Graham Gano,K26,NYG,--,--,--,--,--,--,--,--
Tony Pollard,RB23,TEN,0,0,0,729,5.1,28,204,0.7
Will Reichard,K27,MIN,--,--,--,--,--,--,--,--
Michael Pittman Jr.,WR26,IND,0,0,0,0,0,87,967,5.1
Green Bay Packers,DST6,GB,--,--,--,--,--,--,--,--
Buffalo Bills,DST7,BUF,--,--,--,--,--,--,--,--
Houston Texans,DST7,HOU,--,--,--,--,--,--,--,--
Raheem Mostert,RB24,MIA,0,0,0,645,7.2,17,123,1
Sam LaPorta,TE2,DET,0,0,0,4,0.1,77,841,6.7
Tee Higgins,WR27,CIN,0,0,0,0,0,66,879,6.2
Tank Dell,WR27,HOU,0,0,0,23,0.2,70,879,5.6
D'Andre Swift,RB25,CHI,0,0,0,658,4.6,30,227,1.5
Los Angeles Chargers,DST9,LAC,--,--,--,--,--,--,--,--
Devin Singletary,RB26,NYG,0,0,0,736,5.1,23,156,0.8
James Conner,RB27,ARI,0,0,0,706,5.3,26,179,0.7
Wil Lutz,K28,DEN,--,--,--,--,--,--,--,--
Brian Robinson Jr.,RB28,WAS,0,0,0,713,4.6,23,187,1
Chad Ryland,K29,NE,--,--,--,--,--,--,--,--
Jaylen Warren,RB29,PIT,0,0,0,660,3.9,39,276,1
Tampa Bay Buccaneers,DST10,TB,--,--,--,--,--,--,--,--
Najee Harris,RB30,PIT,0,0,0,741,5.2,21,140,0.5
Dallas Cowboys,DST11,DAL,--,--,--,--,--,--,--,--
Cincinnati Bengals,DST12,CIN,--,--,--,--,--,--,--,--
Cleveland Browns,DST13,CLE,--,--,--,--,--,--,--,--
Nick Folk,K30,TEN,--,--,--,--,--,--,--,--
Christian Kirk,WR29,JAC,0,0,0,11,0.1,76,846,5.7
Zay Flowers,WR29,BAL,0,0,0,27,0.4,72,848,5.1
Indianapolis Colts,DST14,IND,--,--,--,--,--,--,--,--
Daniel Carlson,K31,LV,--,--,--,--,--,--,--,--
Eddy Pineiro,K32,CAR,--,--,--,--,--,--,--,--
Nick Chubb,RB31,CLE,0,0,0,713,5.2,18,125,0.6
Brian Thomas Jr.,WR31,JAC,0,0,0,20,0.1,65,833,5.4
Jonathon Brooks,RB32,CAR,0,0,0,649,4,33,239,0.9
Philadelphia Eagles,DST15,PHI,--,--,--,--,--,--,--,--
Mark Andrews,TE3,BAL,0,0,0,3,0,65,786,6.3
Detroit Lions,DST16,DET,--,--,--,--,--,--,--,--
